1,100,100
2,110,210
3,121,331
4,133,464
5,146,610
6,161,771
7,177,948
8,194,1142
9,214,1356
10,235,1591
11,259,1850
12,285,2135
13,313,2448
14,345,2793
15,379,3172
16,417,3589
17,459,4048
18,505,4553
19,555,5108
20,611,5719
21,672,6391
22,740,7131
23,814,7945
24,895,8840
25,984,9824
26,1083,10907
27,1191,12098
28,1310,13408
29,1442,14850
30,1586,16436
31,1744,18180
32,1919,20099
33,2111,22210
34,2322,24532
35,2554,27086
36,2810,29896
37,3091,32987
38,3400,36387
39,3740,40127
40,4114,44241
41,4525,48766
42,4978,53744
43,5476,59220
44,6024,65244
45,6626,71870
46,7289,79159
47,8017,87176
48,8819,95995
49,9701,105696
50,10671,116367
51,11739,128106
52,12912,141018
53,14204,155222
54,15624,170846
55,17187,188033
56,18905,206938
57,20796,227734
58,22876,250610
59,25163,275773
60,27680,303453
